step,train_cost,train_acc,test_cost,test_acc,n_train
83,0.188,0.9321,0.1866,0.935,2000
84,0.1653,0.9429,0.1905,0.9375,2000
85,0.169,0.9424,0.1879,0.94,2000
86,0.1725,0.9404,0.1914,0.935,2000
87,0.166,0.9448,0.1889,0.9375,2000
88,0.1632,0.9434,0.1852,0.9425,2000
89,0.1502,0.9526,0.1848,0.9375,2000
90,0.1598,0.9497,0.1867,0.9375,2000
91,0.1543,0.9463,0.1869,0.94,2000
92,0.1553,0.9458,0.1863,0.94,2000
93,0.1588,0.9399,0.1848,0.9375,2000
94,0.1642,0.9438,0.1846,0.94,2000
95,0.145,0.9531,0.1843,0.935,2000
96,0.1594,0.9448,0.1843,0.9375,2000
97,0.1607,0.9478,0.1839,0.935,2000
98,0.1621,0.9473,0.1834,0.9325,2000
99,0.1604,0.9399,0.1833,0.9325,2000
100,0.1549,0.9399,0.1833,0.9325,2000
1,1.3664,0.5362,0.7597,0.791,5000
2,0.8488,0.7172,0.5378,0.835,5000
3,0.6747,0.7739,0.4591,0.848,5000
4,0.5752,0.8078,0.4145,0.865,5000
5,0.5113,0.8279,0.3883,0.882,5000
6,0.4796,0.838,0.2825,0.908,5000
7,0.4452,0.8538,0.2994,0.903,5000
8,0.4402,0.8536,0.2811,0.902,5000
9,0.3998,0.8683,0.3145,0.893,5000
10,0.3966,0.8651,0.3605,0.875,5000
11,0.3982,0.8677,0.2991,0.889,5000
12,0.367,0.8786,0.2991,0.898,5000
13,0.3816,0.8679,0.2971,0.891,5000
14,0.3704,0.8831,0.2557,0.919,5000
15,0.3579,0.8819,0.262,0.909,5000
16,0.3389,0.8896,0.255,0.917,5000
17,0.3403,0.8869,0.2495,0.91,5000
18,0.3351,0.8837,0.2152,0.924,5000
19,0.3327,0.8855,0.2368,0.915,5000
20,0.3256,0.89,0.2269,0.908,5000
21,0.3242,0.8912,0.2171,0.92,5000
22,0.3007,0.895,0.2705,0.906,5000
23,0.2886,0.9049,0.2238,0.921,5000
24,0.2869,0.9045,0.2193,0.916,5000
25,0.2878,0.9039,0.2474,0.921,5000
26,0.2837,0.9041,0.2284,0.91,5000
27,0.2984,0.8995,0.2267,0.916,5000
28,0.2832,0.9039,0.2074,0.917,5000
29,0.2715,0.909,0.1995,0.93,5000
30,0.2785,0.9043,0.1841,0.927,5000
31,0.2579,0.9114,0.1921,0.937,5000
32,0.2665,0.9126,0.2017,0.931,5000
33,0.2614,0.912,0.2009,0.923,5000
34,0.2597,0.913,0.2236,0.925,5000
35,0.2599,0.9108,0.2423,0.918,5000
36,0.2555,0.91,0.2156,0.922,5000
37,0.2489,0.9167,0.2438,0.91,5000
38,0.2433,0.9169,0.2104,0.919,5000
39,0.2436,0.9175,0.2081,0.932,5000
40,0.2372,0.9246,0.1988,0.931,5000
41,0.246,0.9161,0.1978,0.923,5000
42,0.2485,0.9181,0.1952,0.933,5000
43,0.2507,0.9193,0.191,0.934,5000
44,0.2499,0.9144,0.1741,0.937,5000
45,0.2164,0.9274,0.1715,0.941,5000
46,0.231,0.9203,0.2201,0.913,5000
47,0.2397,0.9173,0.1962,0.928,5000
48,0.2304,0.9205,0.171,0.942,5000
49,0.2142,0.9278,0.1862,0.928,5000
50,0.2103,0.929,0.1684,0.947,5000
51,0.237,0.9197,0.1807,0.936,5000
52,0.2097,0.9298,0.1782,0.938,5000
53,0.2008,0.9339,0.1643,0.941,5000
54,0.2181,0.9254,0.1576,0.937,5000
55,0.1941,0.9355,0.1621,0.94,5000
56,0.1956,0.9345,0.1681,0.939,5000
57,0.201,0.9333,0.1702,0.933,5000
58,0.2123,0.9292,0.1692,0.939,5000
59,0.1984,0.9288,0.1637,0.938,5000
60,0.1945,0.9359,0.1553,0.946,5000
61,0.1959,0.9337,0.1578,0.941,5000
62,0.1828,0.9355,0.1534,0.95,5000
63,0.192,0.9371,0.1618,0.942,5000
64,0.1825,0.9353,0.158,0.937,5000
65,0.1783,0.9403,0.1544,0.936,5000
66,0.1718,0.9442,0.1627,0.939,5000
67,0.1696,0.9405,0.1593,0.938,5000
68,0.1829,0.9389,0.1674,0.947,5000
69,0.178,0.9413,0.1451,0.943,5000
70,0.1745,0.9379,0.1466,0.947,5000
71,0.1767,0.9373,0.1619,0.942,5000
72,0.1692,0.946,0.1589,0.942,5000
73,0.1783,0.9422,0.1532,0.942,5000
74,0.1598,0.947,0.1476,0.944,5000
75,0.1557,0.946,0.1574,0.935,5000
76,0.1577,0.9496,0.151,0.941,5000
77,0.1607,0.945,0.1527,0.939,5000
78,0.1625,0.9446,0.1445,0.945,5000
79,0.1576,0.9466,0.1527,0.936,5000
80,0.154,0.9462,0.1547,0.937,5000
81,0.1633,0.9452,0.1525,0.94,5000
82,0.1555,0.9464,0.1456,0.943,5000
83,0.1453,0.9551,0.1461,0.935,5000
84,0.1513,0.9494,0.1489,0.939,5000
85,0.1487,0.9543,0.1458,0.94,5000
86,0.145,0.9531,0.1495,0.94,5000
